Verbal;Quantitative
152;166
159;137
158;162
141;155
140;150
141;156
155;149
151;165
138;151
147;157
155;143
164;141
168;143
157;163
161;138
140;155
157;160
157;158
142;161
158;140
140;155
157;159
158;141
153;163
135;151
138;153
152;157
138;153
164;143
164;147
143;153
152;166
158;156
162;143
165;138
134;152
164;142
145;145
153;164
156;144
141;158
163;144
152;160
159;137
160;141
142;154
163;139
140;143
145;156
160;138
139;155
161;150
139;158
144;154
158;140
153;162
155;165
143;158
133;154
161;167
159;141
169;144
153;162
137;158
165;141
133;155
156;158
161;143
153;164
160;144
145;152
146;160
133;157
144;154
161;146
156;165
163;142
139;151
154;161
156;163
136;152
159;163
167;140
151;160
153;167
164;165
157;140
136;157
155;168
153;160
145;153
167;145
136;155
161;161
164;140
162;140
151;165
156;143
135;148
154;157
164;142
144;159
156;168
165;138
159;164
159;161
138;155
157;164
159;145
157;138
152;164
142;155
163;167
156;163
140;153
140;152
152;162
162;165
154;139
164;141
156;144
133;155
160;148
159;141
163;145
140;151
160;144
160;141
158;137
134;154
143;155
140;152
153;154
137;152
140;150
161;143
141;155
153;161
140;159
142;151
161;143
152;165
161;141
157;157
144;155
140;153
151;165
142;160
143;151
160;140
154;158
142;150
154;160
166;146
140;151
139;152
161;140
164;143
154;166
161;137
150;169
160;166
162;146
153;169
144;156
162;157
159;160
158;161
153;156
142;156
170;142
156;161
144;159
162;144
158;146
167;135
153;161
164;142
154;169
161;169
163;139
144;154
157;158
156;167
155;163
153;155
162;141
143;148
154;161
144;154
156;163
157;167
162;136
159;139
139;155
155;160
166;141
140;153
158;165
138;154
161;141
141;154
160;158
137;157
162;141
144;158
150;163
139;155
154;168
162;143
156;161
154;163
140;151
159;137
160;148
157;148
158;145
150;164
144;145
165;143
158;156
153;144
164;145
165;143
156;163
134;152
140;146
154;159
164;157
148;154
152;169
160;142
160;144
153;160
160;141
137;157
137;147
144;144
152;157
155;162
162;144
141;157
143;155
139;162
136;151
164;137
147;156
138;152
156;164
165;143
165;141
158;163
156;141
156;144
142;154
151;163
157;142
145;154
159;161
160;161
138;154
160;158
146;151
140;149
147;164
142;154
153;161
161;146
160;141
161;145
162;142
159;159
158;165
154;162
159;162
162;167
142;148
139;152
161;136
160;163
158;162
160;141
162;140
163;133
142;154
165;146
138;150
138;155
161;143
162;144
140;154
144;153
146;156
170;139
157;161
150;161
145;158
160;138
153;159
151;154
